sample_id	begin	end	type	extraction	mistake_type
4797	164	170	person-scholar	Zensus	FN
4798	0	6	person-other	Culver	FP
4798	0	6	person-director	Culver	FN
4799	39	51	event-sportsevent	Caulfield Cup	FP
4799	36	51	event-sportsevent	the Caulfield Cup	FN
4802	74	78	organization-sportsteam	WTCC	FP
4802	109	115	organization-company	Volvos	FP
4802	74	78	event-sportsevent	WTCC	FN
4802	109	115	product-car	Volvos	FN
4803	0	6	organization-sportsteam	Futsal	FP
4803	58	72	organization-sportsleague	FA Futsal League	FP
4803	58	81	event-sportsevent	FA Futsal League Division 2	FN
4804	59	69	location-GPE	Guadeloupe	FP
4804	0	17	event-disaster	Hurricane Hortense	FP
4804	87	100	event-disaster	Hurricane Hugo	FP
4804	59	69	location-island	Guadeloupe	FN
4805	106	133	organization-company	Australian Defence Industries	FP
4805	134	137	organization-company	ADI	FP
4805	106	133	organization-government/governmentagency	Australian Defence Industries	FN
4805	134	137	organization-government/governmentagency	ADI	FN
4805	56	69	product-other	Flyer vehicles	FN
4806	32	38	other-chemicalthing	G1528C	FP
4806	87	95	other-chemicalthing	cytosine	FP
4806	87	95	other-biologything	cytosine	FN
4806	49	56	other-biologything	guanine	FN
4806	32	38	other-biologything	G1528C	FN
4807	109	118	organization-religion	Christian	FP
4808	159	174	organization-politicalparty	Spartacus League	FP
4808	15	25	person-politician	Schleicher	FP
4808	47	61	person-politician	Friedrich Ebert	FP
4808	71	88	person-politician	Paul von Hindenburg	FP
4808	104	110	location-GPE	German	FP
4808	15	25	person-soldier	Schleicher	FN
4808	71	88	person-soldier	Paul von Hindenburg	FN
4808	159	174	organization-other	Spartacus League	FN
4808	104	131	organization-government/governmentagency	German provisional government	FN
4808	47	61	person-soldier	Friedrich Ebert	FN
4809	54	63	organization-company	4J Studios	FP
4809	81	88	product-other	Xbox 360	FP
4809	2	16	product-other	Xbox Live Arcade	FP
4809	27	40	product-game	Banjo-Kazooie	FP
4809	54	63	organization-other	4J Studios	FN
4809	27	40	organization-company	Banjo-Kazooie	FN
4809	81	88	product-game	Xbox 360	FN
4809	2	16	product-game	Xbox Live Arcade	FN
4811	68	71	organization-media/newspaper	WWE	FN
4812	37	49	location-GPE	Russian-born	FP
4812	49	55	location-GPE	French	FP
4812	37	55	location-GPE	Russian-born French	FN
4813	44	49	organization-sportsleague	Liiga	FP
4813	23	30	person-athlete	Jukurit	FP
4813	23	30	organization-sportsteam	Jukurit	FN
4813	44	49	event-sportsevent	Liiga	FN
4814	31	59	organization-education	National Academy of Engineering	FP
4814	31	59	other-award	National Academy of Engineering	FN
4815	6	12	organization-company	Virgin	FP
4815	6	12	person-other	Virgin	FN
4816	19	42	art-music	The Ballad of Bilbo Baggins	FN
4818	64	70	location-GPE	French	FP
4818	30	37	person-politician	Charles	FP
4818	115	121	location-GPE	French	FP
4818	115	121	organization-other	French	FN
4818	30	37	person-soldier	Charles	FN
4818	64	70	organization-other	French	FN
4819	60	72	location-GPE	Chitchilayuk	FP
4819	60	72	location-other	Chitchilayuk	FN
4822	13	26	building-hospital	RCSI Hospitals	FP
4822	13	26	organization-other	RCSI Hospitals	FN
4823	17	23	location-GPE	Sydney	FP
4823	17	27	location-bodiesofwater	Sydney Cove	FN
4825	15	20	person-politician	Glass	FP
4825	49	97	organization-government/governmentagency	United States Public Health Service Commissioned Corps	FP
4825	46	97	organization-government/governmentagency	the United States Public Health Service Commissioned Corps	FN
4825	15	20	person-scholar	Glass	FN
4828	79	102	art-writtenart	Southern Literary Journal	FP
4828	79	102	organization-media/newspaper	Southern Literary Journal	FN
4829	0	6	organization-sportsteam	Boston	FP
4829	27	40	event-sportsevent	NHL Entry Draft	FP
4829	49	59	building-sportsfacility	Kiel Center	FP
4829	0	6	location-GPE	Boston	FN
4829	27	30	organization-sportsleague	NHL	FN
4829	49	59	location-other	Kiel Center	FN
4829	30	40	event-sportsevent	Entry Draft	FN
4830	7	17	person-other	Coscarelli	FP
4830	7	17	person-artist/author	Coscarelli	FN
4831	17	26	organization-media/newspaper	Sky Sports	FP
4831	17	26	art-broadcastprogram	Sky Sports	FN
4832	3	23	building-hospital	Detroit Medical Center	FP
4832	56	64	location-GPE	Michigan	FP
4832	0	23	building-hospital	The Detroit Medical Center	FN
4832	56	64	building-airport	Michigan	FN
4833	0	4	location-GPE	Lake	FP
4833	0	13	location-bodiesofwater	Lake Koocanusa	FN
4834	92	104	building-other	Damlataş Cave	FP
4834	92	104	location-GPE	Damlataş Cave	FN
4835	144	159	other-law	Watauga Treaties	FP
4835	90	98	location-other	Sycamore	FP
4835	90	104	location-other	Sycamore Shoals	FN
4835	0	13	event-other	The Great Grant	FN
4835	141	159	other-law	The Watauga Treaties	FN
4836	41	49	person-other	Samshika	FP
4836	92	97	location-GPE	Evenk	FP
4836	56	64	person-other	Bombogor	FP
4836	41	49	person-politician	Samshika	FN
4836	56	64	person-politician	Bombogor	FN
4837	30	52	organization-government/governmentagency	Indian National Congress	FP
4837	27	52	organization-politicalparty	the Indian National Congress	FN
4838	37	44	location-GPE	Kutenai	FP
4838	63	76	organization-other	Kootenai Tribe	FP
4838	78	83	location-GPE	Idaho	FP
4838	63	83	organization-other	Kootenai Tribe of Idaho	FN
4839	89	98	event-sportsevent	Ageas Bowl	FP
4839	49	56	organization-sportsteam	Natwest	FP
4839	25	34	location-GPE	Hampshire	FP
4839	25	34	organization-sportsteam	Hampshire	FN
4839	49	64	event-sportsevent	Natwest T20 Blast	FN
4839	89	98	location-GPE	Ageas Bowl	FN
4840	28	37	person-artist/author	Mao Zedong	FP
4840	19	25	person-artist/author	Goethe	FP
4840	28	37	person-other	Mao Zedong	FN
4840	19	25	person-other	Goethe	FN
4842	45	48	product-other	DNA	FP
4842	32	35	product-other	DNA	FP
4842	73	76	product-other	DNA	FP
4842	32	35	other-biologything	DNA	FN
4842	45	48	other-biologything	DNA	FN
4842	73	76	other-biologything	DNA	FN
4843	60	71	building-airport	Wright Field	FP
4843	60	71	location-GPE	Wright Field	FN
4843	40	58	organization-company	Engineering section	FN
4844	57	62	location-GPE	Texas	FP
4844	46	57	location-GPE	U.S. state of	FP
4844	73	91	location-bodiesofwater	Houston Ship Channel	FP
4844	73	91	location-road/railway/highway/transit	Houston Ship Channel	FN
4844	46	62	location-GPE	U.S. state of Texas	FN
4845	91	102	product-other	Fallen Flags	FP
4845	91	102	location-road/railway/highway/transit	Fallen Flags	FN
4846	26	52	event-sportsevent	World Road Race Championships	FP
4846	26	52	other-award	World Road Race Championships	FN
4847	0	6	organization-company	Fairey	FP
4848	54	67	art-other	Les Misérables	FP
4848	34	42	person-actor	Karimloo	FP
4848	34	42	person-artist/author	Karimloo	FN
4848	54	67	art-music	Les Misérables	FN
4850	3	20	location-road/railway/highway/transit	North Coast railway	FP
4850	0	20	location-road/railway/highway/transit	The North Coast railway	FN
4851	24	32	other-biologything	lysine 27	FN
4852	10	15	organization-other	Union	FP
4853	16	29	location-bodiesofwater	Columbia River	FP
4853	13	29	location-bodiesofwater	the Columbia River	FN
4856	42	52	product-train	ICE set 1504	FP
4858	145	166	organization-showorganization	Peripheral Visionaries	FN
4862	0	4	person-other	Bakó	FP
4862	0	4	person-artist/author	Bakó	FN
4863	117	128	location-GPE	Boveney Lock	FP
4863	117	128	building-other	Boveney Lock	FN
4864	2	20	organization-media/newspaper	The Learning Channel	FP
4864	5	20	organization-media/newspaper	Learning Channel	FN
4865	43	55	location-GPE	West Virginia	FP
4865	0	4	person-athlete	West	FP
4865	0	4	person-other	West	FN
4865	43	55	organization-sportsteam	West Virginia	FN
4869	78	88	location-GPE	Britishers	FP
4871	96	107	event-other	World 's Fair	FP
4871	92	107	event-other	1962 World 's Fair	FN
4874	46	51	person-artist/author	Jules	FP
4874	114	117	organization-media/newspaper	CBS	FP
4874	54	66	person-artist/author	Gedeon Naudet	FP
4874	0	6	person-other	Carter	FP
4874	54	66	person-actor	Gedeon Naudet	FN
4874	114	117	organization-company	CBS	FN
4874	46	51	person-actor	Jules	FN
4874	0	6	person-artist/author	Carter	FN
4875	14	25	art-music	White Willow	FP
4875	14	25	organization-showorganization	White Willow	FN
4876	18	34	person-artist/author	Luray Grace Roblee	FP
4876	86	103	building-other	Triangle/Fine Arts	FP
4876	86	103	organization-company	Triangle/Fine Arts	FN
4876	18	34	person-actor	Luray Grace Roblee	FN
4878	48	55	location-GPE	Rimkhim	FP
4879	34	49	building-theater	Gershwin Theatre	FP
4879	34	49	location-other	Gershwin Theatre	FN
4881	29	49	person-politician	Ernst-Alfred Thalmann	FP
4881	29	49	person-athlete	Ernst-Alfred Thalmann	FN
4885	23	34	art-other	Da Hung Chuan	FN
4885	35	45	art-other	Big Red Fist	FN
4888	19	30	building-other	Fort de Buade	FP
4888	19	30	location-GPE	Fort de Buade	FN
4889	37	54	building-other	Brent Spence Bridge	FP
4889	65	76	location-road/railway/highway/transit	Interstates	FP
4889	65	83	location-road/railway/highway/transit	Interstates 71 and 75	FN
4889	37	54	location-other	Brent Spence Bridge	FN
4889	0	7	person-other	Beshear	FN
4891	72	74	person-artist/author	LP	FN
4892	44	64	person-athlete	Mónica I. Ayala Venegas	FP
4892	44	64	person-other	Mónica I. Ayala Venegas	FN
4893	0	15	other-biologything	Glycocholic acid	FP
4893	18	31	other-biologything	cholylglycine	FP
4893	83	87	other-chemicalthing	fats	FN
4893	0	15	other-chemicalthing	Glycocholic acid	FN
4893	18	31	other-chemicalthing	cholylglycine	FN
4893	35	54	other-chemicalthing	crystalline bile acid	FN
4895	60	69	person-actor	James Bond	FP
4895	60	69	person-director	James Bond	FN
4896	60	74	other-language	Biblical Hebrew	FP
4896	60	74	art-other	Biblical Hebrew	FN
4898	19	25	product-other	EEPROM	FP
4898	26	35	product-software	24C65 type	FN
4898	19	25	product-software	EEPROM	FN
4899	43	52	location-GPE	East Timor	FP
4899	43	54	location-GPE	East Timor 's	FN
4900	27	42	organization-education	South High School	FP
4900	45	55	location-road/railway/highway/transit	Fisher Road	FP
4900	27	55	organization-education	South High School off Fisher Road	FN
4901	50	53	organization-politicalparty	IWW	FP
4901	103	112	event-attack/battle/war/militaryconflict	Wheatland	FP
4901	103	119	event-other	Wheatland Hop Riot	FN
4901	50	53	organization-other	IWW	FN
4902	49	53	organization-sportsteam	Iowa	FP
4902	3	16	organization-sportsteam	Ohio State team	FP
4902	3	12	organization-sportsteam	Ohio State	FN
4903	25	34	person-artist/author	Dilys Winn	FP
4903	25	34	person-other	Dilys Winn	FN
4904	159	171	location-bodiesofwater	Limpopo River	FP
4904	22	39	other-livingthing	sawfin suckermouth	FP
4904	148	156	location-bodiesofwater	Incomati	FP
4904	140	147	location-bodiesofwater	Pongolo	FP
4904	159	171	location-other	Limpopo River	FN
4904	140	147	location-other	Pongolo	FN
4904	148	156	location-other	Incomati	FN
4906	17	20	organization-sportsleague	IBO	FP
4906	17	20	event-sportsevent	IBO	FN
4907	57	69	organization-company	MTV Australia	FP
4907	40	43	organization-company	AR C	FP
4907	57	69	organization-media/newspaper	MTV Australia	FN
4907	40	42	organization-media/newspaper	AR	FN
4908	0	33	location-other	Bellevue House National Historic Site	FP
4908	82	104	person-politician	John Alexander Macdonald	FP
4908	0	33	location-GPE	Bellevue House National Historic Site	FN
4908	82	104	person-other	John Alexander Macdonald	FN
4909	20	34	location-road/railway/highway/transit	Pinellas Bayway	FP
4909	60	65	location-road/railway/highway/transit	SR 682	FP
4909	17	34	location-road/railway/highway/transit	the Pinellas Bayway	FN
4909	57	65	location-road/railway/highway/transit	now SR 682	FN
4910	3	6	location-GPE	U.S	FP
4910	3	7	organization-government/governmentagency	U.S .	FN
4912	53	66	person-artist/author	William H. Crim	FP
4912	53	66	location-other	William H. Crim	FN
4913	28	42	person-other	Johnnie Johnson	FP
4913	28	42	person-soldier	Johnnie Johnson	FN
4916	56	62	location-GPE	Berlin	FP
4916	44	56	building-theater	Deutsche Oper	FP
4916	68	79	art-other	Lalla-Roukh	FP
4916	68	79	art-music	Lalla-Roukh	FN
4916	44	62	building-theater	Deutsche Oper Berlin	FN
4917	67	86	art-music	Rhythm & amp ; Classics	FN
4917	22	49	art-music	Hooked on Rhythm & amp ; Classics	FN
4918	0	5	person-athlete	Meyer	FP
4918	55	61	person-other	DePaul	FP
4918	55	61	organization-education	DePaul	FN
4918	0	5	person-other	Meyer	FN
4919	33	46	building-airport	Terminal 4 ( T4 )	FN
4921	0	13	person-other	John Mauropous	FP
4921	0	13	person-scholar	John Mauropous	FN
4923	0	12	other-astronomything	Theta Carinae	FP
4924	13	24	product-other	Maker 's Mark	FP
4924	61	68	product-food	bourbon	FN
4924	13	24	product-food	Maker 's Mark	FN
4924	186	191	product-food	grain	FN
4926	110	125	building-library	Bancroft Library	FP
4926	107	125	building-library	the Bancroft Library	FN
4932	92	106	organization-showorganization	Total Strangers	FP
4932	33	42	location-GPE	Knightley	FP
4932	0	4	person-artist/author	Beer	FN
4932	80	106	organization-showorganization	The Cheats and Total Strangers	FN
4932	33	42	person-artist/author	Knightley	FN
4932	44	56	organization-showorganization	pub rock bands	FN
4934	3	15	other-law	Peace of Paris	FP
4934	10	15	location-GPE	Paris	FN
4935	12	27	person-politician	Vincenzo Dandolo	FP
4935	69	76	person-soldier	Auguste	FP
4935	12	27	person-soldier	Vincenzo Dandolo	FN
4935	69	85	person-soldier	Auguste de Marmont	FN
4940	45	61	organization-company	Almaden Vineyards	FP
4940	45	61	location-other	Almaden Vineyards	FN
4941	0	4	building-other	Club	FN
4942	10	21	person-artist/author	Alan Douglas	FP
4942	10	21	person-director	Alan Douglas	FN
4944	20	27	organization-other	Frisian	FP
4944	20	36	organization-other	Frisian Admiralty	FN
4946	16	22	art-film	Hamlet	FP
4946	16	22	person-other	Hamlet	FN
4947	27	34	person-actor	Sid Ziff	FP
4947	27	34	person-artist/author	Sid Ziff	FN
4951	112	115	organization-education	NTU	FP
4951	89	110	organization-education	Nanyang Business School	FP
4951	89	115	organization-education	Nanyang Business School at NTU	FN
4953	16	30	event-sportsevent	Series ' playoff	FP
4954	93	101	other-disease	diabetic	FP
4954	131	149	other-biologything	glycated hemoglobin	FN
4955	5	14	event-attack/battle/war/militaryconflict	Sand Creek	FP
4955	5	14	person-other	Sand Creek	FN
4957	24	51	event-attack/battle/war/militaryconflict	Dnieper–Carpathian Offensive	FP
4957	24	51	organization-other	Dnieper–Carpathian Offensive	FN
4959	104	110	location-GPE	Cannes	FP
4959	153	156	person-other	B. D	FP
4959	168	174	person-other	Jeremy	FP
4959	153	157	person-actor	B. D .	FN
4959	104	122	event-other	Cannes Film Festival	FN
4959	168	174	person-actor	Jeremy	FN
4960	128	151	art-broadcastprogram	Late Night with Seth Meyers	FP
4960	104	117	art-other	Dirty Pictures	FP
4960	71	96	art-other	All These Kids Are Way Too High	FP
4960	16	19	person-other	Low	FP
4960	71	96	art-music	All These Kids Are Way Too High	FN
4960	128	151	event-other	Late Night with Seth Meyers	FN
4960	104	117	art-music	Dirty Pictures	FN
4960	16	28	organization-showorganization	Low Cut Connie	FN
4961	45	60	person-other	lamasu [ `` sic '' ]	FN
4964	23	25	other-educationaldegree	MA	FP
4964	8	16	other-educationaldegree	master 's	FP
4964	8	47	other-educationaldegree	master 's degree ( MA ) in Film and Media Studies	FN
4966	14	21	person-other	English	FP
4966	14	21	location-GPE	English	FN
4967	30	36	other-chemicalthing	sodium	FP
4967	134	139	other-chemicalthing	borax	FP
4967	37	46	other-chemicalthing	potassium	FP
4967	57	66	other-chemicalthing	magnesium	FP
4967	47	54	other-chemicalthing	lithium	FP
4967	3	8	other-chemicalthing	Salar	FN
4969	35	48	art-film	Sadie Thompson	FP
4969	35	48	art-other	Sadie Thompson	FN
4971	3	16	building-hospital	Mengo Hospital	FP
4971	38	42	person-other	Cook	FP
4971	0	16	building-hospital	The Mengo Hospital	FN
4972	3	26	organization-company	PHLX Semiconductor Sector	FN
4972	27	30	organization-company	SOX	FN
4973	67	80	building-other	Camp Judgeford	FN
4975	66	70	organization-sportsleague	PCHL	FP
4975	41	65	organization-sportsleague	Pacific Coast Hockey League	FP
4975	41	71	organization-sportsleague	Pacific Coast Hockey League ( PCHL )	FN
4976	60	64	person-other	John	FP
4976	11	20	location-GPE	Europeans	FP
4976	120	128	event-attack/battle/war/militaryconflict	Crusades	FN
4976	53	64	person-other	Prester John	FN
4980	237	244	product-other	Descent	FP
4980	247	269	product-other	Ascent Propulsion System	FP
4980	291	302	product-other	Lunar Module	FP
4980	237	269	product-other	Descent and Ascent Propulsion System	FN
4982	63	64	other-currency	$	FP
4982	54	55	other-currency	$	FP
4985	49	66	organization-media/newspaper	Wall Street Journal	FP
4985	94	106	event-other	Women 's Forum	FP
4985	27	42	organization-media/newspaper	The New York Times	FN
4985	46	66	organization-media/newspaper	The Wall Street Journal	FN
4986	10	22	location-GPE	Great America	FP
4986	40	48	location-GPE	Illinois	FP
4988	72	90	event-attack/battle/war/militaryconflict	Pontiac 's Rebellion	FP
4988	72	90	event-protest	Pontiac 's Rebellion	FN
4991	3	6	organization-other	Rex	FP
4991	3	18	organization-other	Rex organization	FN
4991	78	92	event-other	Mardi Gras night	FN
4992	62	79	building-other	Arnhem Space Centre	FP
4992	62	79	organization-other	Arnhem Space Centre	FN
4993	109	115	person-other	Richie	FP
4993	109	115	person-actor	Richie	FN
4994	50	56	location-GPE	Latino	FP
4995	150	168	location-GPE	Rancho San Francisco	FP
4995	62	70	location-GPE	Tataviam	FP
4995	9	24	location-other	Placerita Canyon	FP
4995	76	84	location-GPE	American	FP
4995	62	84	organization-other	Tataviam Native American	FN
4995	150	168	location-other	Rancho San Francisco	FN
4995	9	24	location-mountain	Placerita Canyon	FN
4998	16	26	event-other	Miss Kosovo	FP
4998	61	79	event-other	Miss Albania pageant	FP
4998	100	122	event-other	Miss Scandinavia pageant	FP
4998	61	72	other-award	Miss Albania	FN
4998	16	26	other-award	Miss Kosovo	FN
4998	100	115	other-award	Miss Scandinavia	FN
4999	10	22	organization-sportsteam	Blackberries	FP
4999	56	71	person-athlete	Carlena Williams	FP
4999	26	39	person-athlete	Venetta Fields	FP
4999	40	52	person-athlete	Billie Barnum	FP
4999	7	22	organization-showorganization	the Blackberries	FN
4999	26	39	person-artist/author	Venetta Fields	FN
4999	56	71	person-artist/author	Carlena Williams	FN
4999	40	52	person-artist/author	Billie Barnum	FN
5000	8	16	location-GPE	Japanese	FP
5002	11	17	other-disease	fungus	FP
5003	0	10	location-GPE	New Zealand	FP
5003	108	118	location-GPE	New Zealand	FP
5003	0	10	organization-sportsteam	New Zealand	FN
5003	108	118	organization-sportsteam	New Zealand	FN
5005	137	145	product-food	potatoes	FN
5005	117	124	product-food	parsley	FN
5005	0	7	product-food	Gözleme	FN
5005	125	135	product-food	minced meat	FN
5005	108	114	product-food	cheese	FN
5005	53	64	product-food	phyllo dough	FN
5005	40	51	product-food	lavash bread	FN
5005	100	107	product-food	spinach	FN
5010	0	3	location-GPE	CIA	FP
5010	0	3	organization-other	CIA	FN
5011	39	48	location-GPE	Hungarian	FP
5011	39	58	event-other	Hungarian revolution	FN
5013	120	142	event-sportsevent	Wimbledon Championships	FP
5013	116	142	event-sportsevent	2010 Wimbledon Championships	FN
5014	59	62	event-sportsevent	Cup	FP
5016	22	44	event-disaster	San Francisco earthquake	FP
5016	34	44	event-disaster	earthquake	FN
5016	22	34	location-GPE	San Francisco	FN
5017	10	14	other-livingthing	rats	FP
5017	0	14	other-livingthing	Fischer 344 rats	FN
5022	3	41	building-library	National and University Library of Slovenia	FP
5023	56	65	other-chemicalthing	sodium bis	FP
5023	81	86	other-chemicalthing	amide	FP
5023	56	62	other-chemicalthing	sodium	FN
5024	46	52	product-software	NetBSD	FP
5027	81	89	location-GPE	Scottish	FP
5027	81	93	event-attack/battle/war/militaryconflict	Scottish wars	FN
5029	49	56	product-weapon	7.62×39	FN
5032	33	40	organization-education	Gelugpa	FP
5032	130	138	art-writtenart	Yogācāra	FP
5033	0	7	person-artist/author	Hampton	FN
5034	100	104	building-other	ASDA	FP
5037	125	136	organization-religion	Baháʼu'lláh	FP
5037	125	136	person-other	Baháʼu'lláh	FN
5038	13	24	location-GPE	North Dakota	FP
5038	18	24	location-GPE	Dakota	FN
5040	40	44	organization-politicalparty	Nazi	FP
5040	162	187	organization-politicalparty	Austrian National Socialism	FP
5040	231	235	organization-politicalparty	Nazi	FP
5040	44	51	location-GPE	Germany	FN
5040	162	170	location-GPE	Austrian	FN
5040	131	138	location-GPE	Germany	FN
5041	27	35	person-other	Dillards	FP
5041	27	35	organization-showorganization	Dillards	FN
5043	25	38	building-other	MERLIN reactor	FP
5044	2	11	location-GPE	Manhattan	FP
5044	95	128	art-other	The Illustrator and the Book in England	FP
5044	162	194	art-other	The Art of the French Illustrated Book	FP
5044	95	138	art-writtenart	The Illustrator and the Book in England , 1790-1914	FN
5044	2	34	building-library	Manhattan 's Pierpont Morgan Library	FN
5044	162	205	art-writtenart	The Art of the French Illustrated Book , 1700 to 1914	FN
5048	50	60	person-politician	Habibullah	FP
5048	28	35	organization-other	Taliban	FP
5048	50	60	person-other	Habibullah	FN
5048	28	35	organization-politicalparty	Taliban	FN
5049	32	35	product-game	DLC	FN
5049	9	27	art-music	Por la boca vive el pez	FN
5050	62	78	organization-showorganization	The Salvation Army	FN
5051	3	33	art-writtenart	Asian Journal of International Law	FP
5051	3	33	organization-media/newspaper	Asian Journal of International Law	FN
5052	100	105	location-GPE	Roman	FP
5052	18	28	building-other	Judengasse	FP
5052	100	120	organization-other	Roman Imperial Majesty	FN
5052	126	136	organization-other	Holy Empire	FN
5052	18	28	location-road/railway/highway/transit	Judengasse	FN
5054	77	79	organization-other	SD	FN
5055	0	12	person-artist/author	David Sterrit	FP
5055	20	29	art-writtenart	Christian	FP
5055	111	120	art-film	Red Dragon	FP
5055	0	12	person-other	David Sterrit	FN
5055	111	120	art-other	Red Dragon	FN
5055	20	43	organization-media/newspaper	Christian Science Monitor	FN
5057	109	128	organization-government/governmentagency	Department of Culture	FP
5057	10	15	person-other	Streb	FP
5057	54	60	location-GPE	London	FP
5057	173	187	organization-other	Olympic Lottery	FP
5057	173	198	organization-government/governmentagency	Olympic Lottery Distributor	FN
5057	109	142	organization-government/governmentagency	Department of Culture , Media and Sport	FN
5058	116	136	person-scholar	Emmanuel Le Roy Ladurie	FP
5058	116	136	person-other	Emmanuel Le Roy Ladurie	FN
5059	25	39	other-biologything	staphylococcus	FP
5059	112	121	other-biologything	coagulase	FP
5059	17	39	other-biologything	positive staphylococcus	FN
5059	112	129	other-biologything	coagulase positive	FN
5061	7	14	organization-politicalparty	Ben-Ari	FP
5061	60	73	organization-politicalparty	National Union	FP
5061	17	36	organization-politicalparty	Aryeh Eldad of Hatikva	FP
5061	60	73	organization-government/governmentagency	National Union	FN
5061	7	36	organization-politicalparty	Ben-Ari and Aryeh Eldad of Hatikva	FN
5062	217	221	organization-government/governmentagency	NASA	FP
5062	90	94	organization-government/governmentagency	NASA	FP
5062	286	290	art-writtenart	Time	FP
5062	90	94	organization-other	NASA	FN
5062	217	221	organization-other	NASA	FN
5062	286	298	organization-media/newspaper	Time Magazine	FN
5063	0	11	person-athlete	Manny Muscat	FP
5064	0	3	person-other	Tim	FN
5067	26	49	organization-government/governmentagency	Maryland General Assembly	FP
5067	0	12	other-law	House Bill 189	FP
5067	26	34	location-GPE	Maryland	FN
5067	0	9	organization-government/governmentagency	House Bill	FN
5069	2	25	organization-other	Operational Training Unit	FP
5071	95	116	location-other	Parliamentary Triangle	FP
5071	95	116	building-other	Parliamentary Triangle	FN
5072	33	44	location-GPE	Soviet Union	FP
5072	46	55	event-attack/battle/war/militaryconflict	Winter War	FP
5072	33	55	event-attack/battle/war/militaryconflict	Soviet Union 's Winter War	FN
5073	0	5	person-artist/author	Petre	FN
5074	72	84	other-medical	barbiturates	FP
5074	24	39	other-medical	benzodiazepines	FP
5074	24	39	other-chemicalthing	benzodiazepines	FN
5074	72	84	other-chemicalthing	barbiturates	FN
5075	20	35	organization-government/governmentagency	Security Service	FP
5076	41	60	person-other	Gytha Thorkelsdóttir	FP
5076	41	60	building-other	Gytha Thorkelsdóttir	FN
5076	6	11	location-GPE	Saxon	FN
5077	0	4	organization-company	Yale	FP
5077	0	4	organization-education	Yale	FN
5078	19	24	organization-other	141st	FN
5079	104	110	organization-sportsteam	Torino	FP
5079	72	84	organization-sportsteam	Penske Racing	FP
5079	43	55	person-athlete	Bobby Allison	FP
5079	104	110	organization-other	Torino	FN
5079	72	84	organization-other	Penske Racing	FN
5079	43	55	person-other	Bobby Allison	FN
5080	123	126	organization-sportsleague	AFC	FP
5080	123	126	event-sportsevent	AFC	FN
5081	10	29	event-sportsevent	Cuban National Series	FP
5081	10	29	organization-sportsleague	Cuban National Series	FN
5082	116	138	other-biologything	TGF-beta binding protein	FP
5082	147	172	other-biologything	latency-associated peptide	FN
5082	110	138	other-biologything	latent TGF-beta binding protein	FN
5083	18	37	organization-other	Committee on Industry	FP
5083	18	55	organization-government/governmentagency	Committee on Industry , Research and Energy	FN
5084	9	28	event-election	vidhansabha election	FN
5087	0	4	person-artist/author	Cody	FP
5087	144	195	other-award	Writers Guild of America Award for Best Original Screenplay	FP
5087	0	4	person-other	Cody	FN
5087	144	170	other-award	Writers Guild of America Award	FN
5088	0	6	location-GPE	Kuwait	FP
5088	9	16	location-GPE	Bahrain	FP
5088	0	6	person-other	Kuwait	FN
5088	9	16	person-other	Bahrain	FN
5090	18	32	organization-government/governmentagency	House of Bokassa	FP
5090	120	142	location-GPE	Central African Republic	FP
5090	117	142	location-GPE	the Central African Republic	FN
5090	25	32	person-other	Bokassa	FN
5092	37	47	person-other	Paul Doolin	FP
5092	37	47	person-athlete	Paul Doolin	FN
5095	3	15	location-GPE	United States	FP
5095	3	15	organization-government/governmentagency	United States	FN
5096	18	29	organization-media/newspaper	Canal 8 Sport	FP
5096	32	42	organization-media/newspaper	Eurosport 2	FP
5096	18	29	organization-other	Canal 8 Sport	FN
5096	32	42	organization-other	Eurosport 2	FN
5097	170	178	location-GPE	Trustees	FN
5100	102	115	other-chemicalthing	organic carbon	FN
5101	136	148	building-other	Davis Station	FP
5101	39	44	organization-other	ANARE	FP
5101	136	141	location-GPE	Davis	FN
5101	39	44	organization-government/governmentagency	ANARE	FN
5102	83	97	event-sportsevent	Moscow Olympics	FP
5105	19	27	event-other	Original	FP
5105	41	44	product-other	OCR	FP
5105	41	44	art-other	OCR	FN
5105	19	40	art-other	Original Cast Recording	FN
5109	108	113	product-car	내연6xx	FN
5109	114	123	product-car	Naeyŏn 6xx	FN
5112	49	57	organization-company	L & amp ; YR	FP
5112	21	41	product-other	Aspinall 7ft3in 4-4-0s	FN
5112	49	57	product-other	L & amp ; YR	FN
5115	0	4	person-scholar	Bill	FP
5115	0	7	person-scholar	Bill Nye	FN
5116	49	63	location-island	Lesser Antilles	FP
5116	124	133	location-GPE	Caribbean	FP
5116	49	63	location-GPE	Lesser Antilles	FN
5116	124	140	location-GPE	Caribbean nations	FN
5118	88	112	organization-company	Del Wilber & amp ; Associates	FP
5118	16	26	art-broadcastprogram	Ice Capades	FN
5118	88	112	organization-media/newspaper	Del Wilber & amp ; Associates	FN
5119	19	28	organization-sportsteam	Melbourne	FP
5119	19	28	location-GPE	Melbourne	FN
5121	0	9	building-other	İzmirspor	FP
5121	41	53	building-other	Hatay station	FP
5121	41	53	location-other	Hatay station	FN
5121	0	9	location-other	İzmirspor	FN
5122	20	30	location-GPE	Livingston	FP
5122	20	30	person-politician	Livingston	FN
5123	34	40	location-other	Kinver	FP
5123	65	83	person-other	Thomas Grosvenor Lee	FP
5123	3	16	organization-other	National Trust	FP
5123	85	95	location-GPE	Birmingham	FP
5123	34	44	location-other	Kinver Edge	FN
